Name,Category,Type,Neighborhood,Address,Latitude,Longitude,Dog Treats,Water Bowls,Description
Zazie,Restaurant,Food/Drink,Cole Valley,941 Cole St,37.76554303,-122.4499915,Y,Y,"Popular french brunch spot offering free treats, water bowls, discount on wine"
Rose's Cafe,Cafe,Food/Drink,Cow Hollow,2298 Union St,37.79749246,-122.4371485,Y,Y,Neighborhood cafe offering dog biscuits and water bowls
Tacolicious,Restaurant,Food/Drink,Marina,2250 Chestnut St,37.8025428,-122.4401486,Y,Y,Fun taco spot offering water bowls and barklet happy hour with pup previsions
Duboce Park Cafe,Cafe,Food/Drink,Duboce Triangle,2 Sanchez St,37.76925595,-122.4315915,N,N,Cafe right across from a dog park with dog-friendly patio
Park Chalet Coastal Beer Garden,Restaurant,Food/Drink,Outer Sunset,1000 Great Hwy,37.76988787,-122.5100115,N,Y,Spacious seaside eatery offering water bowls and outdoor areas where pups can lounge
Mattina,Restaurant,Food/Drink,Pacific Heights,2232 Bush St,37.78752417,-122.4342236,N,N,Cozy neighborhood restuarant with indoor dog-friendly seating
Bender's Bar & Grill,Bar,Food/Drink,Mission District,806 S Van Ness Ave,37.76096078,-122.417132,Y,Y,Casual bar offering dog treats
Outerlands,Restaurant,Food/Drink,Outer Sunset,4001 Judah St,37.76104879,-122.5049883,Y,Y,Popular brunch spot offering dog treats
Fable,Restaurant,Food/Drink,Castro,558 Castro St,37.76071286,-122.4349323,Y,Y,"Castro restaurant with garden patio, dog menu, and water bowls"
Doc's Clock,Bar,Food/Drink,Mission District,2417 Mission St,37.75869493,-122.418874,Y,Y,Mission dive bar with doggie happy hours
Black Horse London Pub,Bar,Food/Drink,Cow Hollow,1514 Union St,37.79890983,-122.4244396,Y,Y,Tiny pub offering water bowls and barklet happy hour with pup previsions
Palm City,Bar,Food/Drink,Outer Sunset,4055 Irving St,37.76477709,-122.5012047,Y,Y,"Neighborhood wine bar with dog treats, water bowls, and outdoor area"
Scoma's,Restaurant,Food/Drink,Fisherman's Wharf,1965 Al Scoma Way,37.8093346,-122.4183256,Y,Y,Classic waterfront restaurant with dog treats and water bowls
Stable Cafe,Cafe,Food/Drink,Mission District,2128 Folsom St,37.76358971,-122.4151223,Y,Y,"Mission cafe with dog biscuits, water bowls, and shady outdoor seating"
Arizmendi Bakery,Dessert,Food/Drink,Inner Sunset,1331 9th Ave,37.7692221,-122.4675779,Y,Y,"Bakery offering dog treats, water bowls"
Beretta,Restaurant,Food/Drink,Mission District,1199 Valencia St,37.75514768,-122.4203203,N,Y,Upscale pizzeria with dog-friendly outddor seating and water bowls
Delfina,Restaurant,Food/Drink,Mission District,3621 18th St,37.76143164,-122.4243622,N,Y,Mission pizza favorite offering water bowls
